	GameID	LeagueIndex	Age	HoursPerWeek	TotalHours	APM	SelectByHotkeys	AssignToHotkeys	UniqueHotkeys	MinimapAttacks	MinimapRightClicks	NumberOfPACs	GapBetweenPACs	ActionLatency	ActionsInPAC	TotalMapExplored	WorkersMade	UniqueUnitsMade	ComplexUnitsMade	ComplexAbilityUsed	MaxTimeStamp
0	5847	5	29.0	8.0	365.0	85.7166	0.002514045	0.000407303	7.02e-05	8.43e-05	0.000337079	0.004241573	35.2558	55.2185	3.2649	0.000379213	0.0010253	0.00011236	0.0	0.00016854	71200
2	3783	3	19.0	6.0	250.0	99.2052	0.001082005	0.000161352	3.8e-05	9.49e-06	0.000180334	0.003454822	29.6749	58.956	5.0907	0.000246773	0.0010725	7.59e-05	0.000237282	0.00062642	105360
3	7059	4	31.0	8.0	600.0	96.372	0.000373635	0.000170986	1.9e-05	0.000151987	0.000132989	0.004255643	31.9881	53.4762	4.1875	0.000265978	0.00037364	5.07e-05	0.0	0.0	157908
5	5469	5	17.0	6.0	400.0	127.854	0.010442437	0.000302054	7.19e-05	0.0	0.000100685	0.003739716	33.8069	61.8462	3.6654	0.000273287	0.00097808	0.000100685	0.0	0.00015822	69524
7	6792	5	20.0	20.0	1260.0	198.7848	0.008261323	0.000629641	5.43e-05	5.43e-05	0.00092275	0.004179513	32.8333	47.5429	6.8312	0.000445091	0.0018238	6.51e-05	0.0	0.0	92116
12	1826	1	27.0	2.0	250.0	37.7802	0.0	4.32e-05	1.44e-05	0.0	0.000330821	0.002517116	60.6897	106.3771	2.8629	0.000172602	0.00031644	7.19e-05	0.0	0.0	69524
16	10076	8				225.0678	0.014338789	0.001626924	8.5e-05	0.000291389	0.000910592	0.005281434	16.3502	33.2874	5.4713	0.000315672	0.00089845	9.71e-05	0.0	0.00095916	82364
19	8272	5	23.0	10.0	500.0	286.2444	0.017437081	0.000395219	7.9e-05	7.9e-05	0.000158088	0.004505501	23.9155	33.2632	7.8982	0.000316176	0.0017073	9.49e-05	0.000158088	0.00044265	63256
21	473	6	17.0	10.0	500.0	109.6176	0.00381191	0.000546463	5.33e-05	0.0	0.000213254	0.003798582	26.9155	46.0211	4.5825	0.000319881	0.0011063	9.33e-05	1.33e-05	0.00041318	75028
24	6797	6	21.0	12.0	1000.0	151.7886	0.007318833	0.000592722	0.000128853	0.000103082	0.000206164	0.002808989	34.3333	50.0183	7.8807	0.000335017	0.00095351	0.000128853	0.0	0.0	38804
25	3905	6	18.0	28.0	1200.0	181.971	0.006626113	0.000336737	6.52e-05	0.0001738	0.000271562	0.004106018	19.4271	49.5556	6.7381	0.000228112	0.00098849	8.69e-05	0.0	0.0	92060
26	5271	5	19.0	10.0	300.0	103.4796	0.00220417	0.000526783	0.0	8.32e-05	0.000249529	0.004283575	39.3766	56.5049	4.068	0.000304979	0.0010536	8.32e-05	4.16e-05	2.77e-05	72136
28	9128	4	23.0	20.0	800.0	83.3202	0.00035184	0.000211104	3.52e-05	0.000123144	0.000316656	0.003500809	31.3333	55.7186	4.4221	0.000228696	0.00072127	0.000123144	0.0	1.76e-05	56844
32	8627	3	29.0	12.0	220.0	61.0446	0.002954288	0.000247665	3.54e-05	0.0	0.000194594	0.002688933	61.1656	87.0	3.1842	0.000229975	0.00090221	0.000123832	0.0	0.0	56528
34	6995	6	23.0	14.0	600.0	138.2484	0.004840561	0.000523978	4.99e-05	8.73e-05	0.000898248	0.004291631	33.4461	48.2907	4.9302	0.000336843	0.00093568	0.000112281	7.49e-05	0.00022456	80156
35	8790	6	20.0	6.0	900.0	163.8978	0.007042254	0.000800791	8.24e-05	1.18e-05	0.000906778	0.004545669	30.6182	49.6373	5.1088	0.000282632	0.0015427	0.000105987	0.000117763	3.53e-05	84916
36	1447	1	20.0	28.0	200.0	72.591	0.000176258	0.00019829	6.61e-05	0.0	0.000132194	0.003172645	17.9021	66.6111	4.2778	0.00019829	0.00048471	8.81e-05	0.000154226	2.2e-05	45388
